,Time,Surface,Age,Sex,Vehicle
264,1,0,31,0,0
265,2,0,62,0,0
266,1,0,22,1,0
267,1,0,58,1,0
268,1,0,36,1,3
269,2,0,28,1,0
270,2,0,24,1,0
271,2,0,28,1,0
272,2,0,25,1,0
273,2,0,35,1,0
274,2,0,60,1,6
275,2,0,39,0,0
276,2,1,28,1,2
277,0,1,27,1,0
278,1,1,33,0,0
279,1,0,23,1,0
280,1,0,40,1,0
281,2,1,24,0,3
282,2,1,46,1,3
283,2,1,24,1,0
284,1,0,56,0,0
285,1,0,33,1,7
286,2,1,18,0,0
287,1,0,47,1,8
288,2,0,37,1,0
289,1,0,39,1,0
290,1,0,28,1,0
291,2,0,19,0,0
292,2,0,44,1,11
293,1,0,49,1,0
294,2,0,20,1,4
295,1,0,8,1,3
296,2,0,48,1,0
297,1,0,22,1,8
298,2,0,56,1,8
299,2,0,31,1,0
300,2,0,32,1,0
301,2,0,46,1,0
302,1,0,55,0,0
303,2,0,18,1,6
304,2,0,78,1,0
305,2,0,28,1,0
306,2,0,34,1,0
307,2,0,33,1,0
308,2,0,40,1,0
309,2,0,41,1,3
310,2,0,28,1,0
311,1,0,61,0,0
312,1,0,87,1,0
313,1,0,53,1,0
314,1,0,25,1,0
315,2,0,58,0,0
316,1,0,37,1,9
317,0,0,25,0,0
318,1,0,21,1,0
319,2,0,27,1,0
320,2,0,72,1,0
321,2,0,69,0,0
322,2,0,42,0,0
323,1,0,24,0,0
324,0,0,30,1,0
325,0,0,20,0,0
326,2,0,18,0,0
327,2,0,53,1,8
328,2,0,43,1,6
329,2,0,20,1,3
330,1,0,24,0,0
331,2,0,36,0,0
332,2,0,37,1,0
333,1,0,40,0,0
334,0,0,41,0,0
335,1,0,44,0,0
336,0,0,29,1,0
337,2,0,51,1,8
338,1,0,29,1,0
339,1,0,59,1,7
340,2,0,65,1,3
341,2,0,38,1,3
342,2,0,29,1,8
343,2,0,21,1,0
344,2,0,19,0,0
345,2,0,35,1,0
346,2,0,37,0,0
347,1,0,29,1,10
348,0,0,62,1,0
349,2,0,41,0,0
350,2,0,20,1,6
351,1,0,65,0,3
352,1,0,19,0,0
353,1,0,19,1,7
354,2,0,38,0,0
355,1,0,19,0,0
356,0,0,28,1,0
357,0,0,31,1,0
358,2,0,33,1,8
359,2,0,28,1,0
360,2,0,56,0,0
361,2,0,19,1,3
362,0,0,23,1,0
363,0,0,44,0,0
364,2,0,27,0,0
365,2,0,38,1,0
366,2,0,38,1,0
367,1,0,17,1,5
368,1,0,47,1,3
369,1,0,19,0,6
370,1,0,58,1,0
371,1,0,19,0,0
372,1,0,30,1,0
373,1,0,25,1,0
374,1,0,19,0,0
375,1,0,65,1,0
376,2,0,41,1,0
377,2,0,24,1,0
378,1,0,19,1,6
379,1,0,25,1,3
380,2,0,35,1,8
381,2,0,18,1,0
382,2,0,54,1,0
383,1,0,42,0,0
384,1,0,27,1,1
385,2,0,25,0,0
386,1,0,43,1,0
387,2,0,51,1,1
388,1,0,32,0,0
389,2,0,48,1,0
390,0,1,18,1,0
391,2,0,24,1,0
392,2,0,39,0,0
393,1,0,29,1,3
394,1,1,75,0,0
395,2,1,36,0,0
396,2,1,21,1,0
397,1,1,47,0,0
398,1,1,22,0,0
399,2,1,40,1,0
400,2,0,17,1,5
401,1,0,60,1,0
402,2,0,17,1,3
403,2,0,13,1,3
404,1,0,33,1,0
405,2,0,12,1,3
406,2,0,20,1,0
407,0,1,35,1,1
408,1,0,22,0,0
409,1,0,31,0,0
410,2,0,48,1,6
411,1,0,56,0,0
412,1,0,24,0,3
413,2,0,56,1,5
414,0,0,24,1,0
415,0,0,46,1,0
416,0,0,65,0,0
417,1,0,38,0,0
418,1,0,23,1,0
419,2,0,46,1,8
420,2,0,25,1,0
421,2,0,9,0,3
422,1,0,59,1,8
423,2,0,12,0,3
424,2,1,20,1,0
425,1,0,25,1,3
426,2,0,46,1,8
427,2,0,24,1,0
428,2,0,46,1,8
429,2,0,17,1,0
430,2,1,29,1,3
431,1,0,20,1,0
432,1,0,24,0,0
433,1,0,36,1,0
434,2,0,56,0,0
435,2,1,72,1,0
436,2,1,28,1,0
437,2,1,39,1,3
438,0,0,54,1,0
439,1,0,50,0,0
440,1,0,32,1,0
441,2,0,32,0,0
442,1,0,27,0,0
443,1,1,77,1,0
444,1,1,45,0,0
445,2,0,54,1,0
446,2,0,20,1,0
447,0,1,18,1,2
448,2,0,59,1,0
449,1,0,45,0,0
450,1,0,45,0,0
451,2,0,24,0,0
452,2,0,20,1,0
453,0,0,21,1,0
454,0,0,50,1,0
455,0,0,27,1,0
456,2,0,45,0,0
457,2,0,64,1,0
458,2,0,20,1,3
459,0,0,63,0,0
460,0,0,49,0,0
461,1,0,58,1,8
462,2,0,38,1,3
463,1,0,23,1,0
464,1,0,19,1,0
465,1,0,50,1,0
466,2,0,23,1,0
467,1,0,64,1,7
468,2,0,28,1,0
469,2,0,37,1,0
470,2,0,30,1,0
471,2,0,25,1,0
472,2,0,46,1,0
473,1,0,58,0,0
474,0,1,25,1,3
475,1,0,58,1,3
476,2,0,44,1,0
477,2,0,30,1,0
478,2,0,18,1,0
479,1,0,64,0,0
480,1,0,41,1,0
481,2,0,25,0,0
482,1,0,77,1,0
483,2,0,6,1,3
484,1,0,31,0,0
485,1,0,61,1,3
