,Time,Surface,Age,Sex,Vehicle,Severity
342,2150,2,36,0,0,2
343,1840,1,25,0,0,1
345,1815,2,60,1,8,1
347,1545,1,52,1,0,2
348,2150,1,24,1,6,2
350,920,0,34,0,0,2
351,1900,0,70,1,0,2
352,1520,0,22,1,0,2
354,1751,0,17,1,6,2
356,1253,2,71,0,0,2
357,2225,1,67,1,0,2
358,2225,1,22,1,0,2
359,1428,0,14,1,4,2
364,1615,0,79,1,0,2
368,2030,0,27,1,5,1
370,1350,0,13,1,2,1
373,1215,0,33,0,3,1
377,2210,0,20,1,0,2
378,2210,0,21,1,0,2
379,1035,1,34,0,0,2
381,1310,0,46,0,0,2
383,850,1,24,0,0,2
386,1503,0,43,0,0,2
390,1715,0,46,1,0,2
392,2113,0,14,1,3,2
393,1500,0,48,1,0,2
394,1500,0,26,0,0,1
395,1925,1,51,0,0,2
396,1650,0,62,1,0,2
402,1430,0,21,0,0,2
406,1500,0,29,0,0,2
407,1115,0,30,0,0,2
408,1220,0,39,1,0,1
409,810,0,23,1,0,2
410,2310,1,26,1,0,2
412,2310,1,26,0,0,2
415,1930,0,33,1,0,2
417,1144,0,25,0,0,2
419,1110,0,35,0,0,2
420,1220,0,45,0,0,2
421,1829,0,36,1,0,2
423,1829,0,57,1,0,2
426,2319,0,17,1,2,1
427,2023,0,19,1,0,2
428,1740,0,38,1,3,2
430,1720,0,44,1,7,2
431,1308,0,38,1,0,2
432,2128,0,48,1,5,2
433,1321,0,31,0,0,2
434,1800,0,62,0,0,2
435,610,0,22,1,0,2
436,610,0,58,1,0,2
438,845,0,36,1,3,2
439,1409,0,28,1,0,2
440,1409,0,24,1,0,2
443,1445,0,28,1,0,2
444,1703,0,25,1,0,2
445,1703,0,35,1,0,2
448,1530,0,60,1,6,1
451,1735,0,39,0,0,2
455,1545,1,28,1,2,2
456,2310,1,27,1,0,2
457,1305,1,33,0,0,2
459,1155,0,23,1,0,2
460,1155,0,40,1,0,2
462,2000,1,24,0,3,2
463,1939,1,46,1,3,2
464,1955,1,24,1,0,2
469,850,0,56,0,0,2
470,850,0,33,1,7,2
474,1500,1,18,0,0,2
477,1010,0,47,1,8,2
478,2115,0,37,1,0,2
481,1025,0,39,1,0,2
482,1025,0,28,1,0,2
486,1410,0,19,0,0,2
487,1410,0,44,1,11,2
489,845,0,49,1,0,2
492,1646,0,20,1,4,2
493,1200,0,8,1,3,2
494,1500,0,48,1,0,2
496,648,0,22,1,8,1
500,2120,0,56,1,8,1
501,1800,0,31,1,0,2
502,1800,0,32,1,0,2
503,1950,0,46,1,0,2
506,1330,0,55,0,0,2
508,1415,0,18,1,6,2
509,2115,0,78,1,0,1
512,2115,0,28,1,0,2
513,2115,0,34,1,0,2
516,2000,0,33,1,0,2
517,1915,0,40,1,0,2
519,1603,0,41,1,3,2
524,1435,0,28,1,0,2
526,1101,0,61,0,0,1
527,1101,0,87,1,0,2
528,1220,0,53,1,0,2
529,1220,0,25,1,0,2
531,1645,0,58,0,0,2
532,842,0,37,1,9,2
534,2245,0,25,0,0,2
537,1345,0,21,1,0,2
539,2000,0,27,1,0,2
540,1600,0,72,1,0,2
541,1700,0,69,0,0,2
542,1700,0,42,0,0,2
543,830,0,24,0,0,2
544,2330,0,30,1,0,2
545,2330,0,20,0,0,2
547,1445,0,18,0,0,2
549,1445,0,53,1,8,2
550,1805,0,43,1,6,2
551,2130,0,20,1,3,2
552,1115,0,24,0,0,2
554,1615,0,36,0,0,2
555,1615,0,37,1,0,2
556,746,0,40,0,0,2
557,114,0,41,0,0,2
558,1234,0,44,0,0,2
559,2245,0,29,1,0,2
561,2050,0,51,1,8,2
563,1245,0,29,1,0,2
564,1245,0,59,1,7,2
565,1630,0,65,1,3,2
566,1535,0,38,1,3,1
567,1755,0,29,1,8,1
573,1550,0,21,1,0,2
575,1550,0,19,0,0,2
576,1550,0,35,1,0,2
577,1550,0,37,0,0,2
580,928,0,29,1,10,2
581,2240,0,62,1,0,2
582,1530,0,41,0,0,2
583,2110,0,20,1,6,2
584,1135,0,65,0,3,2
585,1245,0,19,0,0,2
586,1245,0,19,1,7,2
587,1425,0,38,0,0,2
588,1235,0,19,0,0,2
589,514,0,28,1,0,1
590,33,0,31,1,0,2
591,1552,0,33,1,8,2
592,1425,0,28,1,0,2
593,1650,0,56,0,0,2
594,1650,0,19,1,3,2
595,2205,0,23,1,0,2
596,2205,0,44,0,0,2
598,1605,0,27,0,0,2
599,1605,0,38,1,0,2
600,1605,0,38,1,0,2
602,1312,0,17,1,5,1
603,905,0,47,1,3,1
605,1100,0,19,0,6,2
606,705,0,58,1,0,2
608,1325,0,19,0,0,2
609,1245,0,30,1,0,2
610,1245,0,25,1,0,2
614,1240,0,19,0,0,2
615,1240,0,65,1,0,2
616,2050,0,41,1,0,2
617,1445,0,24,1,0,2
618,1300,0,19,1,6,1
620,1004,0,25,1,3,2
621,1755,0,35,1,8,2
622,1655,0,18,1,0,2
623,1655,0,54,1,0,2
627,1245,0,42,0,0,2
633,1330,0,27,1,1,2
634,1813,0,25,0,0,2
637,735,0,43,1,0,2
640,1845,0,51,1,1,2
643,910,0,32,0,0,2
644,1840,0,48,1,0,2
645,2350,1,18,1,0,2
646,1730,0,24,1,0,2
650,1410,0,39,0,0,2
653,830,0,29,1,3,2
654,1020,1,75,0,0,2
657,1918,1,36,0,0,2
658,1918,1,21,1,0,2
665,1155,1,47,0,0,2
666,1155,1,22,0,0,2
669,1715,1,40,1,0,2
676,1602,0,17,1,5,1
677,1355,0,60,1,0,2
679,1443,0,17,1,3,2
680,1500,0,13,1,3,2
682,1150,0,33,1,0,2
684,1600,0,12,1,3,2
685,1720,0,20,1,0,1
686,2350,1,35,1,1,2
691,834,0,22,0,0,2
692,834,0,31,0,0,2
695,1855,0,48,1,6,1
697,810,0,56,0,0,2
699,900,0,24,0,3,2
702,2000,0,56,1,5,2
705,2225,0,24,1,0,2
706,2225,0,46,1,0,2
710,2310,0,65,0,0,2
712,824,0,38,0,0,2
713,824,0,23,1,0,2
715,1706,0,46,1,8,2
716,1735,0,25,1,0,2
717,1715,0,9,0,3,2
718,1125,0,59,1,8,2
720,1640,0,12,0,3,1
722,2130,1,20,1,0,2
723,952,0,25,1,3,2
725,1520,0,46,1,8,2
726,1940,0,24,1,0,2
732,1550,0,46,1,8,2
733,1915,0,17,1,0,2
735,1945,1,29,1,3,2
737,1125,0,20,1,0,2
739,1319,0,24,0,0,2
740,1319,0,36,1,0,2
741,1520,0,56,0,0,2
742,1600,1,72,1,0,2
743,1600,1,28,1,0,2
744,1900,1,39,1,3,2
746,554,0,54,1,0,2
748,1303,0,50,0,0,2
749,1303,0,32,1,0,2
750,1815,0,32,0,0,2
752,1205,0,27,0,0,2
754,620,1,77,1,0,2
755,620,1,45,0,0,2
757,2030,0,54,1,0,2
758,2030,0,20,1,0,2
759,150,1,18,1,2,2
761,1715,0,59,1,0,2
765,1051,0,45,0,0,2
766,1051,0,45,0,0,2
768,1440,0,24,0,0,2
769,1530,0,20,1,0,2
771,30,0,21,1,0,2
772,30,0,50,1,0,1
779,2345,0,27,1,0,2
786,2020,0,45,0,0,2
787,1720,0,64,1,0,2
788,1605,0,20,1,3,2
791,2311,0,63,0,0,2
792,2311,0,49,0,0,2
795,1220,0,58,1,8,2
796,1525,0,38,1,3,2
797,1215,0,23,1,0,2
798,1215,0,19,1,0,2
799,1215,0,50,1,0,2
801,1945,0,23,1,0,2
803,945,0,64,1,7,2
805,1440,0,28,1,0,2
806,1440,0,37,1,0,2
807,1440,0,30,1,0,2
808,1440,0,25,1,0,2
809,1440,0,46,1,0,2
811,1140,0,58,0,0,2
814,230,1,25,1,3,2
815,815,0,58,1,3,1
816,2030,0,44,1,0,2
817,2030,0,30,1,0,2
819,2122,0,18,1,0,2
826,950,0,64,0,0,2
828,1230,0,41,1,0,2
832,1600,0,25,0,0,2
836,1140,0,77,1,0,2
837,1805,0,6,1,3,2
838,1350,0,31,0,0,2
839,1130,0,61,1,3,2
840,1015,0,53,0,0,2
842,836,0,53,1,7,2
845,1402,0,63,0,0,2
849,1518,0,28,1,0,2
851,1220,0,29,0,3,2
852,1603,0,19,1,6,2
855,1915,0,38,1,2,1
856,1915,0,37,0,0,2
857,1510,0,47,1,3,2
861,1845,0,33,1,3,2
862,1320,0,50,1,0,2
864,1750,0,30,1,3,2
865,1740,0,44,1,3,2
866,1415,0,72,0,0,2
869,1450,0,40,1,0,2
870,2310,0,25,1,3,1
871,2309,0,21,0,0,2
872,1130,0,34,0,0,2
874,1130,0,50,1,0,2
876,1542,0,26,0,0,2
877,1542,0,37,0,0,1
880,225,0,17,1,8,1
885,2110,0,15,1,6,1
886,830,0,23,1,6,2
887,915,0,36,1,0,2
888,915,0,51,1,0,2
889,2140,0,52,1,11,2
890,1803,0,39,1,0,3
891,1803,0,34,1,0,2
895,1440,0,32,1,0,2
897,2345,0,37,1,0,2
899,303,0,25,1,5,2
900,1215,0,31,0,0,2
901,1643,0,6,1,3,2
902,2350,0,36,1,0,2
903,2350,0,28,0,0,2
905,1320,0,45,1,8,1
906,1320,0,33,0,0,2
908,30,0,18,1,0,2
909,240,0,48,1,0,2
910,240,0,23,1,0,2
912,527,0,26,1,0,2
914,749,0,21,1,0,2
918,2020,0,23,1,0,2
919,1053,1,46,1,1,2
920,1053,1,52,0,0,2
923,2030,0,32,0,0,2
924,1635,0,23,1,3,2
925,1907,1,64,1,0,2
926,1455,1,20,1,3,2
927,800,0,50,1,0,2
928,1730,1,15,1,3,2
929,1255,0,67,0,0,2
931,1655,1,32,1,0,2
934,1830,0,23,0,3,2
935,2310,0,50,1,0,2
937,1830,0,61,0,0,2
938,1510,0,78,1,4,2
941,1625,1,29,1,0,2
942,1625,1,48,0,0,2
946,1215,0,68,1,0,2
951,55,1,30,1,0,2
952,1648,0,46,0,8,1
953,1300,0,62,0,0,2
954,1419,0,50,0,0,2
956,900,0,75,0,0,2
957,850,0,26,1,3,2
958,1900,0,34,0,0,2
959,1900,0,17,1,0,2
961,1145,0,60,0,0,2
962,820,0,41,0,0,2
964,715,0,24,1,0,2
966,1430,0,74,1,3,2
967,1400,0,22,0,0,2
969,1310,0,33,1,0,2
970,435,0,20,1,0,2
971,2135,0,25,0,0,2
972,1930,0,18,1,6,1
973,1855,0,23,0,0,2
974,1235,0,60,0,0,2
978,945,0,44,0,0,2
979,945,0,36,0,0,2
980,345,0,29,1,0,2
981,15,1,18,0,0,2
984,1130,0,19,1,0,2
985,650,1,20,1,8,2
986,1540,0,24,0,0,2
988,1008,1,34,1,0,2
991,745,1,52,1,0,2
997,1550,0,38,0,0,2
998,1525,0,32,1,3,2
999,118,1,26,1,0,2
1003,1925,0,17,0,0,2
1004,1925,0,58,0,0,2
1005,1610,0,37,1,0,2
1006,920,0,26,1,0,2
1007,920,0,45,1,0,2
1008,1325,0,18,0,0,2
1010,716,0,19,1,0,2
1011,1025,0,40,1,3,2
1012,2042,1,21,1,0,2
1013,2042,1,33,1,0,2
1015,505,0,36,1,11,1
1016,2150,0,29,1,0,2
1017,1740,0,36,0,0,2
1018,1740,0,24,1,0,2
1023,1714,0,15,1,3,1
1024,240,0,20,1,3,2
1026,155,0,34,1,0,2
1028,2030,0,19,1,0,2
1030,1958,0,41,1,0,2
1031,1958,0,41,1,0,2
1033,1525,0,60,1,0,2
1034,1500,0,12,1,3,2
1036,1805,0,47,1,3,2
1040,2140,0,22,1,0,2
1041,751,0,37,1,5,2
1042,1830,0,25,1,0,2
1043,1730,0,17,1,3,2
1045,1810,0,24,0,0,2
1047,1515,0,20,0,0,2
1048,940,0,38,0,0,2
1049,940,0,31,0,8,2
1051,750,0,55,0,0,2
1052,1340,0,40,1,0,2
1053,1340,0,30,1,0,2
1054,1525,0,27,1,3,2
1061,856,1,19,0,0,2
1064,1720,0,51,1,0,2
1065,1300,1,47,0,0,2
1068,907,1,79,1,0,2
1069,1800,1,17,1,6,2
1070,715,1,45,1,0,2
1071,715,1,30,0,0,2
1075,1725,1,19,0,0,2
1076,1725,1,66,0,0,2
1077,1140,1,27,1,0,2
1080,535,4,24,0,0,2
1082,1630,1,35,1,0,2
1083,1130,0,22,1,0,2
1086,1550,1,43,1,0,2
1087,1550,1,40,0,0,2
1088,1505,1,16,1,3,2
1091,1700,1,24,1,0,2
1093,1340,0,38,0,0,2
1094,1328,0,31,1,8,1
1095,1900,0,59,1,3,2
1096,1810,0,35,1,0,2
1098,1333,0,75,0,0,2
1099,630,0,50,1,11,1
1100,630,0,44,1,7,2
1101,630,0,56,1,7,3
1102,630,0,29,1,7,2
1106,1330,1,28,0,0,2
1107,1330,1,19,1,0,2
1109,730,1,33,1,0,2
1110,1800,1,33,0,0,2
1116,2220,1,36,1,7,2
1118,2023,0,9,1,3,2
1122,1400,0,42,1,5,2
1123,1730,0,40,1,3,2
1124,2215,0,18,0,0,2
1125,915,0,23,1,9,2
1127,835,0,40,1,0,2
1130,1325,0,24,0,0,2
1137,532,0,25,0,0,2
1142,1545,0,50,1,0,2
1144,1450,0,26,1,0,2
1145,1400,0,23,1,0,2
1146,1400,0,19,0,0,2
1147,1500,0,21,1,0,2
1150,1930,0,19,1,6,2
1151,614,0,44,0,0,2
1152,25,0,29,1,0,1
1153,1230,0,43,1,3,2
1154,1545,0,20,1,3,2
1158,2248,0,19,1,0,1
1161,1930,0,18,0,0,2
1163,1323,0,10,1,3,1
1164,1310,0,38,0,0,2
1170,2115,0,17,1,2,2
1173,1640,0,59,0,0,2
1174,1640,0,47,0,0,2
1181,1350,0,18,1,3,1
1183,1228,0,21,1,0,2
1187,1530,0,32,0,0,2
1190,1735,0,48,1,0,2
1194,1950,0,43,1,8,2
1195,1950,0,29,1,1,2
1196,1730,0,45,1,8,1
1199,1330,0,41,0,0,2
1202,1120,0,18,1,6,2
1203,145,0,18,1,0,2
1204,1140,0,53,1,0,2
1206,1900,0,27,1,0,2
1207,1900,0,49,1,1,2
1208,1457,0,88,1,0,2
1209,1457,0,74,1,0,2
1213,1710,0,38,1,6,2
1214,1750,0,20,1,0,2
1216,110,0,38,1,0,2
1218,858,0,28,1,6,2
1220,1030,0,26,1,3,2
1221,715,0,23,1,0,2
1223,1645,0,31,1,0,2
1225,1740,0,32,1,3,1
1227,2015,0,26,1,8,1
1230,1206,0,33,1,3,2
1231,1956,0,20,0,6,2
1233,920,0,51,1,3,2
1234,1230,0,57,1,0,2
1235,1213,0,55,0,0,2
1237,1640,0,39,1,3,2
1238,740,0,39,1,3,2
1240,1305,0,11,1,3,2
1241,835,0,26,1,3,2
1242,1834,1,25,1,1,2
1243,1600,0,15,1,3,2
1244,1315,0,38,1,0,2
1245,1315,0,19,0,0,2
1246,300,1,20,1,0,2
1248,840,1,21,0,0,2
1249,1345,0,26,0,0,2
1250,1345,0,52,1,0,2
1251,30,0,26,1,0,2
1252,1800,1,46,1,0,2
1254,210,0,19,1,0,2
1256,1230,0,47,1,0,2
1257,655,0,61,1,0,2
1258,1845,0,37,0,0,2
1261,852,0,29,0,0,2
1263,1141,0,16,1,2,1
1268,2055,0,18,1,6,1
1269,1325,0,29,0,0,2
1270,1325,0,45,0,0,2
1271,1635,0,47,0,0,2
1273,1917,0,59,1,8,2
1274,745,1,25,1,8,2
1275,1810,0,37,1,0,2
1277,1740,0,10,1,3,2
1279,1730,0,26,1,0,2
1280,1625,0,56,0,0,2
1281,1625,0,32,0,0,2
1282,2110,0,58,1,0,2
1283,230,0,47,1,1,2
1287,1823,0,22,1,0,2
1288,1635,0,30,1,0,2
