1st Road Class,Accident Date,Age of Casualty,Casualty Class,Casualty Severity,Easting,Northing,Lighting Conditions,Number of Vehicles,Reference Number,Road Surface,Sex of Casualty,Time (24hr),Type of Vehicle,Weather Conditions
A,07-Jan-09,41,Driver,Slight,425549,436382,Daylight: street lights present,2,19509,Wet / Damp,Male,750,Pedal cycle,Fine without high winds
Unclassified,08-Jan-09,23,Driver,Serious,429298,428264,Daylight: street lights present,2,12009,Wet / Damp,Male,847,Car,Fine without high winds
Unclassified,08-Jan-09,54,Driver,Slight,429298,428264,Daylight: street lights present,2,12009,Wet / Damp,Female,847,Car,Fine without high winds
Unclassified,08-Jan-09,71,Passenger,Slight,425070,437952,Daylight: street lights present,1,13509,Dry,Female,1100,Bus or coach (17 or more passenger seats),Fine without high winds
Motorway,08-Jan-09,47,Driver,Slight,430859,424436,Daylight: street lights present,2,18409,Dry,Male,830,Car,Fine without high winds
Motorway,08-Jan-09,22,Passenger,Slight,430859,424436,Daylight: street lights present,2,18409,Dry,Male,830,Car,Fine without high winds
Unclassified,08-Jan-09,11,Passenger,Slight,432517,436673,Daylight: street lights present,2,22709,Wet / Damp,Male,830,Car,Fine without high winds
Unclassified,08-Jan-09,20,Driver,Slight,425924,435145,Darkness: street lights present and lit,2,36409,Wet / Damp,Male,1656,Motorcycle over 125cc and up to 500cc,Fine without high winds
Unclassified,08-Jan-09,7,Pedestrian,Slight,423618,434131,Darkness: street lights present and lit,1,86809,Dry,Male,1710,Car,Fine without high winds
A,09-Jan-09,31,Driver,Slight,431503,435127,Daylight: street lights present,2,13009,Dry,Male,819,Pedal cycle,Fine without high winds
B,09-Jan-09,21,Driver,Slight,440513,448481,Darkness: street lights present and lit,2,15509,Frost / Ice,Male,2103,Car,Other
Unclassified,09-Jan-09,21,Driver,Slight,429771,431652,Daylight: street lights present,2,18009,Dry,Male,1539,Motorcycle over 50cc and up to 125cc,Fine without high winds
Unclassified,09-Jan-09,38,Driver,Slight,422040,443853,Darkness: no street lighting,1,18209,Dry,Male,147,Goods vehicle 3.5 tonnes mgw and under,Fine without high winds
Motorway,09-Jan-09,27,Driver,Slight,429700,432100,Daylight: street lights present,3,19209,Wet / Damp,Female,752,Car,Fine without high winds
A(M),09-Jan-09,49,Driver,Slight,441206,448780,Daylight: street lights present,2,20009,Wet / Damp,Male,750,Motorcycle over 500cc,Fine without high winds
A,09-Jan-09,39,Driver,Slight,421375,440473,Daylight: street lights present,2,29709,Wet / Damp,Male,1550,Bus or coach (17 or more passenger seats),Fine without high winds
A,09-Jan-09,79,Passenger,Slight,421375,440473,Daylight: street lights present,2,29709,Wet / Damp,Male,1550,Bus or coach (17 or more passenger seats),Fine without high winds
A,10-Jan-09,17,Driver,Slight,428572,432995,Darkness: street lights present and lit,1,19609,Frost / Ice,Female,740,M/cycle 50cc and under,Fine without high winds
A,10-Jan-09,23,Driver,Slight,431509,432630,Daylight: street lights present,3,22109,Dry,Female,1525,Car,Fine without high winds
A,10-Jan-09,25,Driver,Slight,431509,432630,Daylight: street lights present,3,22109,Dry,Female,1525,Car,Fine without high winds
A,10-Jan-09,54,Driver,Slight,431509,432630,Daylight: street lights present,3,22109,Dry,Male,1525,Car,Fine without high winds
