1st Road Class,Accident Date,Age of Casualty,Casualty Class,Casualty Severity,Easting,Northing,Lighting Conditions,Number of Vehicles,Reference Number,Road Surface,Sex of Casualty,Time (24hr),Type of Vehicle,Weather Conditions
A,16-Oct-09,11,Passenger,Slight,441460,439840,Daylight: street lights present,4,859609,Dry,Female,1558,Bus or coach (17 or more passenger seats),Fine without high winds
A,16-Oct-09,11,Passenger,Slight,441460,439840,Daylight: street lights present,4,859609,Dry,Male,1558,Bus or coach (17 or more passenger seats),Fine without high winds
A,16-Oct-09,12,Passenger,Slight,441460,439840,Daylight: street lights present,4,859609,Dry,Male,1558,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,16-Oct-09,44,Driver,Slight,436222,434266,Daylight: street lights present,2,860109,Dry,Female,1530,Pedal cycle,Fine without high winds
Unclassified,16-Oct-09,26,Driver,Serious,425053,433332,Daylight: street lights present,2,870009,Dry,Male,1715,Motorcycle over 50cc and up to 125cc,Fine without high winds
Unclassified,17-Oct-09,20,Driver,Slight,429899,435449,Darkness: street lights present and lit,1,844609,Dry,Male,2130,Car,Fine without high winds
A,17-Oct-09,53,Driver,Slight,435658,437028,Daylight: street lights present,4,849109,Dry,Male,1115,Car,Fine without high winds
A,17-Oct-09,29,Driver,Slight,430945,433298,Daylight: street lights present,2,855709,Dry,Male,1705,Car,Fine without high winds
Unclassified,17-Oct-09,36,Driver,Serious,430237,432959,Darkness: street lights present and lit,2,885309,Dry,Male,2245,Motorcycle over 50cc and up to 125cc,Fine without high winds
Unclassified,18-Oct-09,17,Pedestrian,Slight,431881,435323,Darkness: street lights present and lit,1,848809,Dry,Male,1835,Car,Fine without high winds
A,18-Oct-09,62,Driver,Serious,431023,433513,Daylight: street lights present,2,849209,Dry,Female,1330,Car,Fine without high winds
A,18-Oct-09,24,Driver,Slight,428594,432781,Daylight: street lights present,3,849309,Dry,Male,1751,Car,Fine without high winds
Unclassified,18-Oct-09,51,Driver,Slight,424904,443281,Daylight: street lights present,2,857209,Dry,Female,1340,Car,Fine without high winds
Unclassified,19-Oct-09,44,Driver,Slight,431344,433934,Daylight: street lights present,2,859909,Dry,Female,1410,Car,Fine without high winds
Unclassified,19-Oct-09,37,Passenger,Slight,431344,433934,Daylight: street lights present,2,859909,Dry,Female,1410,Car,Fine without high winds
Unclassified,19-Oct-09,47,Pedestrian,Slight,431571,435177,Darkness: street lights present and lit,1,860409,Dry,Female,1845,Car,Fine without high winds
A,19-Oct-09,21,Driver,Slight,430089,431274,Daylight: street lights present,2,863409,Dry,Male,1715,Pedal cycle,Fine without high winds
Unclassified,19-Oct-09,30,Driver,Slight,431022,433511,Daylight: street lights present,2,874709,Dry,Male,1546,Car,Fine without high winds
Unclassified,19-Oct-09,67,Passenger,Slight,431022,433511,Daylight: street lights present,2,874709,Dry,Male,1546,Car,Fine without high winds
A,20-Oct-09,20,Passenger,Slight,423771,435633,Daylight: street lights present,1,855209,Dry,Female,1625,Bus or coach (17 or more passenger seats),Fine without high winds
A,20-Oct-09,22,Driver,Slight,437754,433053,Darkness: street lights present and lit,1,859809,Wet / Damp,Male,2345,Car,Fine without high winds
A,20-Oct-09,21,Passenger,Slight,437754,433053,Darkness: street lights present and lit,1,859809,Wet / Damp,Male,2345,Car,Fine without high winds
A,20-Oct-09,19,Passenger,Slight,437754,433053,Darkness: street lights present and lit,1,859809,Wet / Damp,Male,2345,Car,Fine without high winds
A,20-Oct-09,22,Passenger,Slight,437754,433053,Darkness: street lights present and lit,1,859809,Wet / Damp,Male,2345,Car,Fine without high winds
Unclassified,20-Oct-09,34,Driver,Slight,424256,438995,Daylight: street lights present,2,860009,Dry,Female,725,Car,Fine without high winds
Motorway,20-Oct-09,42,Driver,Slight,434711,425874,Daylight: street lights present,3,863109,Dry,Male,857,Goods vehicle 3.5 tonnes mgw and under,Fine without high winds
Motorway,20-Oct-09,25,Driver,Slight,434711,425874,Daylight: street lights present,3,863109,Dry,Male,857,Car,Fine without high winds
Motorway,20-Oct-09,57,Driver,Slight,434711,425874,Daylight: street lights present,3,863109,Dry,Male,857,Car,Fine without high winds
A(M),20-Oct-09,28,Driver,Slight,429404,433791,Darkness: street lights present and lit,1,865209,Wet / Damp,Male,2030,Car,Raining without high winds
Unclassified,20-Oct-09,25,Pedestrian,Slight,430735,433449,Darkness: street lights present and lit,1,865309,Wet / Damp,Male,1835,Car,Fine without high winds
Unclassified,20-Oct-09,18,Driver,Slight,431411,430752,Darkness: street lights present and lit,2,878409,Dry,Male,2215,Car,Fine without high winds
Unclassified,21-Oct-09,13,Pedestrian,Slight,441998,430355,Daylight: street lights present,1,862209,Wet / Damp,Female,805,Car,Fine without high winds
A,21-Oct-09,17,Driver,Slight,421823,446012,Darkness: street lighting unknown,1,863609,Dry,Female,2200,Car,Fine without high winds
A,21-Oct-09,21,Passenger,Slight,421823,446012,Darkness: street lighting unknown,1,863609,Dry,Female,2200,Car,Fine without high winds
A,21-Oct-09,17,Passenger,Slight,421823,446012,Darkness: street lighting unknown,1,863609,Dry,Female,2200,Car,Fine without high winds
Unclassified,21-Oct-09,47,Driver,Slight,435088,435681,Darkness: street lights present and lit,2,870109,Dry,Male,1820,Pedal cycle,Fine without high winds
Unclassified,21-Oct-09,48,Driver,Slight,427151,432531,Daylight: street lights present,2,876709,Wet / Damp,Male,915,Car,Fine without high winds
Unclassified,22-Oct-09,35,Driver,Slight,430293,431180,Daylight: street lights present,2,866809,Dry,Male,1541,Motorcycle over 50cc and up to 125cc,Fine without high winds
A,22-Oct-09,61,Driver,Slight,435869,425813,Daylight: street lights present,2,873909,Dry,Male,1050,Car,Fine without high winds
A,22-Oct-09,38,Driver,Slight,435869,425813,Daylight: street lights present,2,873909,Dry,Male,1050,Car,Fine without high winds
A,22-Oct-09,20,Passenger,Slight,435869,425813,Daylight: street lights present,2,873909,Dry,Female,1050,Car,Fine without high winds
Motorway,22-Oct-09,25,Driver,Slight,435910,425855,Daylight: street lights present,2,875309,Dry,Female,725,Car,Fine without high winds
Motorway,22-Oct-09,37,Driver,Slight,435910,425855,Daylight: street lights present,2,875309,Dry,Male,725,Car,Fine without high winds
Motorway,22-Oct-09,23,Passenger,Slight,435910,425855,Daylight: street lights present,2,875309,Dry,Male,725,Car,Fine without high winds
Unclassified,22-Oct-09,51,Driver,Slight,430716,436746,Daylight: street lights present,2,875409,Dry,Male,1303,Pedal cycle,Fine without high winds
A,22-Oct-09,52,Driver,Serious,442691,428996,Daylight: street lights present,3,919009,Dry,Male,729,Car,Fine without high winds
A,22-Oct-09,45,Driver,Serious,442691,428996,Daylight: street lights present,3,919009,Dry,Male,729,Car,Fine without high winds
B,23-Oct-09,34,Driver,Slight,432591,430577,Daylight: street lights present,2,877209,Dry,Female,915,Car,Fine without high winds
Unclassified,23-Oct-09,33,Pedestrian,Serious,430935,434847,Daylight: street lights present,1,881209,Dry,Female,1200,Car,Fine without high winds
A,24-Oct-09,48,Driver,Slight,434413,434383,Daylight: street lights present,2,877009,Dry,Male,1608,Car,Fine without high winds
A,24-Oct-09,72,Driver,Serious,434413,434383,Daylight: street lights present,2,877009,Dry,Male,1608,Other Vehicle ,Fine without high winds
Unclassified,24-Oct-09,42,Driver,Slight,426136,440434,Daylight: street lights present,2,878309,Dry,Male,1420,Pedal cycle,Fine without high winds
A,25-Oct-09,32,Driver,Slight,424024,437714,Daylight: street lights present,2,873609,Wet / Damp,Male,1240,Pedal cycle,Raining without high winds
Unclassified,25-Oct-09,17,Pedestrian,Slight,419959,441964,Darkness: street lights present and lit,1,875109,Wet / Damp,Female,1700,Car,Raining without high winds
A,25-Oct-09,18,Passenger,Slight,427786,436375,Daylight: street lights present,2,881909,Wet / Damp,Female,1505,Car,Raining without high winds
A,25-Oct-09,18,Passenger,Slight,427786,436375,Daylight: street lights present,2,881909,Wet / Damp,Female,1505,Car,Raining without high winds
A,25-Oct-09,19,Passenger,Slight,427786,436375,Daylight: street lights present,2,881909,Wet / Damp,Female,1505,Car,Raining without high winds
Unclassified,25-Oct-09,60,Pedestrian,Slight,420559,441123,Darkness: street lights present and lit,1,916909,Wet / Damp,Female,2020,Car,Raining with high winds
A,26-Oct-09,39,Driver,Slight,431542,435162,Daylight: street lights present,2,872109,Wet / Damp,Male,725,Car,Fine without high winds
A,26-Oct-09,16,Passenger,Slight,431542,435162,Daylight: street lights present,2,872109,Wet / Damp,Male,725,Car,Fine without high winds
A,26-Oct-09,17,Passenger,Slight,431542,435162,Daylight: street lights present,2,872109,Wet / Damp,Male,725,Car,Fine without high winds
A,26-Oct-09,22,Driver,Slight,424580,435149,Darkness: street lights present and lit,2,875709,Wet / Damp,Female,1545,Car,Fine with high winds
A,26-Oct-09,33,Driver,Slight,431978,431223,Darkness: street lighting unknown,2,885109,Wet / Damp,Male,615,Pedal cycle,Fine without high winds
Motorway,26-Oct-09,26,Driver,Slight,430541,431257,Daylight: street lights present,2,891109,Dry,Female,1705,Car,Fine without high winds
Motorway,26-Oct-09,26,Passenger,Slight,430541,431257,Daylight: street lights present,2,891109,Dry,Male,1705,Car,Fine without high winds
Unclassified,26-Oct-09,28,Driver,Slight,429169,431578,Darkness: street lights present and lit,2,892609,Dry,Male,1830,Pedal cycle,Fine without high winds
Unclassified,26-Oct-09,24,Driver,Slight,430028,433372,Darkness: street lighting unknown,2,893309,Dry,Male,45,Pedal cycle,Fine without high winds
A,26-Oct-09,32,Passenger,Slight,440438,447805,Daylight: street lights present,2,896209,Dry,Male,1315,Car,Fine without high winds
Unclassified,26-Oct-09,37,Driver,Slight,432058,435964,Darkness: street lights present and lit,4,930209,Dry,Male,1816,Car,Fine without high winds
Unclassified,26-Oct-09,37,Driver,Slight,432058,435964,Darkness: street lights present and lit,4,930209,Dry,Male,1816,Car,Fine without high winds
Unclassified,26-Oct-09,32,Passenger,Slight,432058,435964,Darkness: street lights present and lit,4,930209,Dry,Male,1816,Car,Fine without high winds
Unclassified,27-Oct-09,35,Driver,Slight,425212,440811,Daylight: street lights present,2,877309,Wet / Damp,Male,815,Car,Fog or mist – if hazard
Unclassified,27-Oct-09,35,Driver,Slight,425212,440811,Daylight: street lights present,2,877309,Wet / Damp,Male,815,Car,Fog or mist – if hazard
Unclassified,27-Oct-09,26,Driver,Slight,428870,434835,Darkness: street lights present and lit,2,882909,Wet / Damp,Male,2045,Pedal cycle,Fine without high winds
Unclassified,27-Oct-09,39,Driver,Slight,440713,428683,Daylight: street lights present,2,903409,Dry,Male,1040,Car,Fine without high winds
Unclassified,27-Oct-09,7,Passenger,Slight,440713,428683,Daylight: street lights present,2,903409,Dry,Female,1040,Car,Fine without high winds
A,28-Oct-09,18,Passenger,Slight,431968,431242,Daylight: street lights present,2,878809,Dry,Female,830,Car,Fine without high winds
A,28-Oct-09,22,Driver,Slight,421871,436574,Daylight: street lights present,4,879409,Wet / Damp,Male,730,Car,Fine without high winds
A,28-Oct-09,33,Driver,Slight,421871,436574,Daylight: street lights present,4,879409,Wet / Damp,Female,730,Car,Fine without high winds
A,28-Oct-09,22,Driver,Slight,421871,436574,Daylight: street lights present,4,879409,Wet / Damp,Female,730,Car,Fine without high winds
A,28-Oct-09,50,Driver,Slight,435484,439995,Daylight: street lights present,2,882109,Dry,Male,1200,Car,Fine without high winds
A,28-Oct-09,35,Passenger,Slight,431438,432700,Daylight: street lights present,2,882409,Dry,Female,1140,Car,Fine without high winds
Unclassified,28-Oct-09,21,Driver,Slight,431797,428915,Daylight: street lights present,2,886509,Wet / Damp,Male,650,Car,Fine without high winds
Unclassified,28-Oct-09,50,Driver,Slight,431797,428915,Daylight: street lights present,2,886509,Wet / Damp,Male,650,Car,Fine without high winds
Unclassified,28-Oct-09,25,Passenger,Slight,431797,428915,Daylight: street lights present,2,886509,Wet / Damp,Female,650,Car,Fine without high winds
Unclassified,28-Oct-09,49,Passenger,Slight,431797,428915,Daylight: street lights present,2,886509,Wet / Damp,Female,650,Car,Fine without high winds
Unclassified,28-Oct-09,19,Driver,Slight,431859,435936,Darkness: street lights present and lit,2,891009,Dry,Female,2042,Car,Fine without high winds
Unclassified,28-Oct-09,18,Passenger,Slight,431859,435936,Darkness: street lights present and lit,2,891009,Dry,Female,2042,Car,Fine without high winds
Unclassified,28-Oct-09,26,Driver,Slight,431859,435936,Darkness: street lights present and lit,2,891009,Dry,Male,2042,Car,Fine without high winds
B,28-Oct-09,38,Pedestrian,Slight,432099,435532,Daylight: street lights present,1,891409,Dry,Male,1700,Car,Fine without high winds
Unclassified,28-Oct-09,55,Driver,Slight,430491,437138,Daylight: street lights present,2,934109,Dry,Male,1200,Motorcycle over 125cc and up to 500cc,Fine without high winds
Unclassified,29-Oct-09,85,Passenger,Slight,431678,434506,Daylight: street lights present,1,881709,Dry,Female,1050,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,29-Oct-09,10,Driver,Slight,426604,436350,Daylight: street lights present,2,883609,Dry,Male,1220,Pedal cycle,Fine without high winds
Unclassified,29-Oct-09,24,Driver,Slight,430339,433735,Daylight: street lights present,2,885509,Dry,Male,1345,Car,Fine without high winds
Unclassified,29-Oct-09,48,Driver,Slight,430339,433735,Daylight: street lights present,2,885509,Dry,Male,1345,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,29-Oct-09,18,Passenger,Slight,430339,433735,Daylight: street lights present,2,885509,Dry,Male,1345,Car,Fine without high winds
Unclassified,29-Oct-09,16,Passenger,Slight,430339,433735,Daylight: street lights present,2,885509,Dry,Male,1345,Car,Fine without high winds
Unclassified,29-Oct-09,14,Passenger,Slight,430339,433735,Daylight: street lights present,2,885509,Dry,Male,1345,Car,Fine without high winds
A,29-Oct-09,34,Driver,Slight,429454,434906,Daylight: street lights present,2,885909,Dry,Female,925,Pedal cycle,Fine without high winds
Unclassified,29-Oct-09,29,Driver,Slight,430222,435117,Darkness: street lights present and lit,2,886209,Dry,Male,28,Car,Fine without high winds
Unclassified,29-Oct-09,31,Driver,Slight,430222,435117,Darkness: street lights present and lit,2,886209,Dry,Male,28,Car,Fine without high winds
Unclassified,29-Oct-09,26,Passenger,Slight,430222,435117,Darkness: street lights present and lit,2,886209,Dry,Male,28,Car,Fine without high winds
Unclassified,29-Oct-09,21,Passenger,Slight,431880,435414,Darkness: street lights present and lit,1,899409,Dry,Male,1805,Bus or coach (17 or more passenger seats),Fine without high winds
A,29-Oct-09,41,Driver,Fatal,436210,436844,Daylight: street lights present,2,1450509,Dry,Male,659,Motorcycle over 500cc,Fine without high winds
Unclassified,30-Oct-09,31,Driver,Slight,424626,434438,Daylight: street lights present,2,885209,Dry,Female,925,Car,Fine without high winds
A(M),30-Oct-09,20,Driver,Serious,429342,433701,Darkness: street lights present and lit,1,885409,Dry,Male,135,Car,Fine without high winds
A,30-Oct-09,12,Pedestrian,Slight,436984,433588,Daylight: street lights present,1,890809,Dry,Male,1634,Car,Fine without high winds
Motorway,30-Oct-09,30,Driver,Slight,426258,429413,Daylight: street lights present,2,892509,Dry,Male,1505,Car,Fine without high winds
Motorway,30-Oct-09,25,Passenger,Slight,426258,429413,Daylight: street lights present,2,892509,Dry,Male,1505,Car,Fine without high winds
Unclassified,31-Oct-09,22,Driver,Slight,428433,435000,Darkness: street lighting unknown,2,890009,Wet / Damp,Male,30,Pedal cycle,Fine without high winds
A,31-Oct-09,39,Driver,Slight,437310,429480,Daylight: street lights present,2,890309,Dry,Male,1415,Motorcycle over 125cc and up to 500cc,Fine without high winds
A(M),31-Oct-09,43,Passenger,Slight,443630,437799,Daylight: street lights present,1,891509,Dry,Female,805,Car,Fine without high winds
A,31-Oct-09,36,Driver,Slight,426379,435438,Daylight: street lights present,2,891809,Dry,Female,1650,Car,Fine without high winds
A,31-Oct-09,42,Passenger,Slight,428958,429855,Darkness: street lighting unknown,2,891909,Wet / Damp,Male,30,Car,Raining without high winds
B,31-Oct-09,36,Driver,Slight,432519,434723,Darkness: street lights present and lit,2,893509,Dry,Female,1727,Car,Fine without high winds
B,31-Oct-09,23,Driver,Serious,432519,434723,Darkness: street lights present and lit,2,893509,Dry,Male,1727,Motorcycle over 500cc,Fine without high winds
A,31-Oct-09,72,Driver,Slight,432692,433871,Daylight: street lights present,2,893909,Dry,Male,1125,Car,Fine without high winds
Unclassified,31-Oct-09,22,Pedestrian,Slight,435705,435738,Darkness: street lights present and lit,1,894209,Dry,Female,2345,Car,Fine without high winds
Unclassified,31-Oct-09,12,Pedestrian,Slight,439881,429903,Darkness: street lights present and lit,1,895509,Dry,Female,1745,Car,Fine without high winds
Motorway,31-Oct-09,22,Driver,Slight,435790,425978,Darkness: street lights present and lit,2,898609,Wet / Damp,Female,1930,Car,Fine without high winds
B,31-Oct-09,32,Driver,Serious,420403,434120,Darkness: street lights present and lit,2,925709,Wet / Damp,Male,20,Car,Raining without high winds
B,31-Oct-09,52,Driver,Slight,420403,434120,Darkness: street lights present and lit,2,925709,Wet / Damp,Male,20,Taxi/Private hire car,Raining without high winds
A,01-Nov-09,18,Passenger,Slight,430987,432040,Daylight: street lights present,2,892209,Wet / Damp,Female,1105,Car,Raining with high winds
Unclassified,01-Nov-09,17,Driver,Slight,425227,439892,Darkness: street lighting unknown,1,908809,Dry,Male,320,Car,Fine without high winds
Unclassified,01-Nov-09,19,Driver,Slight,429098,434716,Daylight: street lights present,2,936809,Wet / Damp,Female,1100,Car,Raining without high winds
Unclassified,01-Nov-09,33,Driver,Slight,429098,434716,Daylight: street lights present,2,936809,Wet / Damp,Male,1100,Taxi/Private hire car,Raining without high winds
A,02-Nov-09,17,Pedestrian,Slight,424731,434895,Daylight: street lights present,1,890909,Dry,Male,1645,Car,Fine without high winds
A,02-Nov-09,60,Driver,Slight,423013,437678,Darkness: street lights present and lit,2,893209,Dry,Female,1720,Car,Fine without high winds
A,02-Nov-09,44,Driver,Slight,423013,437678,Darkness: street lights present and lit,2,893209,Dry,Male,1720,Car,Fine without high winds
A,02-Nov-09,48,Driver,Slight,425975,434138,Daylight: street lights present,3,894809,Wet / Damp,Female,1640,Car,Fine without high winds
Unclassified,02-Nov-09,37,Driver,Slight,424266,437307,Daylight: street lights present,2,894909,Dry,Female,1533,Car,Fine without high winds
Unclassified,02-Nov-09,36,Driver,Slight,432157,436142,Darkness: street lights present and lit,2,896509,Dry,Male,2140,Pedal cycle,Fine without high winds
B,02-Nov-09,35,Pedestrian,Serious,428018,427817,Daylight: street lights present,1,897609,Dry,Female,1155,Car,Fine without high winds
B,02-Nov-09,2,Pedestrian,Serious,428018,427817,Daylight: street lights present,1,897609,Dry,Male,1155,Car,Fine without high winds
B,02-Nov-09,0,Pedestrian,Slight,428018,427817,Daylight: street lights present,1,897609,Dry,Female,1155,Car,Fine without high winds
Unclassified,02-Nov-09,39,Driver,Slight,430659,434289,Daylight: street lights present,2,899309,Wet / Damp,Male,1352,Taxi/Private hire car,Fine without high winds
A,02-Nov-09,20,Pedestrian,Slight,422596,429150,Daylight: street lights present,1,900509,Dry,Female,940,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Fine without high winds
Unclassified,02-Nov-09,65,Pedestrian,Slight,436443,434699,Daylight: street lights present,1,902809,Wet / Damp,Male,1200,Car,Fine without high winds
A,03-Nov-09,32,Driver,Slight,430988,433130,Daylight: street lights present,2,896809,Wet / Damp,Male,955,Car,Raining without high winds
A,03-Nov-09,27,Driver,Slight,423343,437654,Darkness: street lighting unknown,2,898809,Dry,Female,1710,Car,Fine without high winds
A,03-Nov-09,29,Passenger,Slight,423343,437654,Darkness: street lighting unknown,2,898809,Dry,Male,1710,Car,Fine without high winds
Unclassified,03-Nov-09,66,Pedestrian,Slight,430531,437013,Daylight: street lights present,1,900009,Wet / Damp,Male,745,Car,Raining without high winds
A,03-Nov-09,46,Driver,Slight,428581,432963,Daylight: street lights present,3,900709,Wet / Damp,Male,1215,Car,Fine with high winds
A,03-Nov-09,48,Driver,Slight,428581,432963,Daylight: street lights present,3,900709,Wet / Damp,Male,1215,Car,Fine with high winds
A,03-Nov-09,46,Passenger,Slight,428581,432963,Daylight: street lights present,3,900709,Wet / Damp,Female,1215,Car,Fine with high winds
Motorway,03-Nov-09,55,Driver,Slight,430496,431167,Daylight: street lights present,2,901109,Wet / Damp,Male,957,Car,Fine without high winds
A,03-Nov-09,41,Passenger,Slight,428553,427758,Darkness: street lights present and lit,1,901409,Wet / Damp,Male,2215,Car,Raining without high winds
A,03-Nov-09,30,Driver,Slight,428553,427758,Darkness: street lights present and lit,1,901409,Wet / Damp,Male,2215,Car,Raining without high winds
A,03-Nov-09,30,Passenger,Slight,428553,427758,Darkness: street lights present and lit,1,901409,Wet / Damp,Male,2215,Car,Raining without high winds
A,03-Nov-09,25,Passenger,Slight,428553,427758,Darkness: street lights present and lit,1,901409,Wet / Damp,Male,2215,Car,Raining without high winds
A,03-Nov-09,21,Passenger,Slight,428553,427758,Darkness: street lights present and lit,1,901409,Wet / Damp,Male,2215,Car,Raining without high winds
B,03-Nov-09,36,Pedestrian,Slight,438955,426120,Darkness: street lights present and lit,2,902509,Wet / Damp,Male,1713,Goods vehicle 3.5 tonnes mgw and under,Raining without high winds
Motorway,03-Nov-09,57,Passenger,Slight,429596,432090,Daylight: street lights present,4,904609,Wet / Damp,Female,1023,Car,Raining without high winds
Motorway,03-Nov-09,47,Passenger,Slight,429596,432090,Daylight: street lights present,4,904609,Wet / Damp,Female,1023,Car,Raining without high winds
Motorway,03-Nov-09,46,Driver,Slight,429596,432090,Daylight: street lights present,4,904609,Wet / Damp,Male,1023,Goods vehicle 3.5 tonnes mgw and under,Raining without high winds
Motorway,03-Nov-09,22,Driver,Slight,424691,427748,Daylight: street lights present,1,904709,Wet / Damp,Male,1005,Car,Raining with high winds
Unclassified,03-Nov-09,19,Driver,Slight,427162,432253,Darkness: street lights present and lit,2,917609,Dry,Male,1830,Car,Fine without high winds
A(M),03-Nov-09,38,Driver,Slight,441743,444178,Darkness: no street lighting,9,920009,Wet / Damp,Male,1650,Car,Raining without high winds
A(M),03-Nov-09,38,Driver,Slight,441743,444178,Darkness: no street lighting,9,920009,Wet / Damp,Female,1650,Car,Raining without high winds
A(M),03-Nov-09,42,Driver,Slight,441743,444178,Darkness: no street lighting,9,920009,Wet / Damp,Male,1650,Car,Raining without high winds
A(M),03-Nov-09,30,Driver,Slight,441743,444178,Darkness: no street lighting,9,920009,Wet / Damp,Male,1650,Car,Raining without high winds
A(M),03-Nov-09,19,Driver,Slight,441743,444178,Darkness: no street lighting,9,920009,Wet / Damp,Male,1650,Car,Raining without high winds
A,03-Nov-09,30,Driver,Slight,434677,438099,Darkness: street lights present and lit,2,931609,Wet / Damp,Male,720,Car,Raining without high winds
Unclassified,04-Nov-09,32,Driver,Slight,428763,433286,Daylight: street lights present,2,903709,Dry,Male,1010,Goods vehicle 3.5 tonnes mgw and under,Fine without high winds
Unclassified,04-Nov-09,22,Passenger,Slight,428763,433286,Daylight: street lights present,2,903709,Dry,Male,1010,Goods vehicle 3.5 tonnes mgw and under,Fine without high winds
Unclassified,04-Nov-09,45,Passenger,Slight,428763,433286,Daylight: street lights present,2,903709,Dry,Female,1010,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,04-Nov-09,32,Driver,Slight,432162,432913,Darkness: street lights present and lit,2,909409,Wet / Damp,Female,1715,Car,Raining without high winds
A,04-Nov-09,26,Passenger,Slight,432775,435937,Darkness: street lights present and lit,3,909509,Wet / Damp,Female,2015,Car,Raining without high winds
A,04-Nov-09,42,Driver,Slight,424137,430431,Darkness: street lights present and lit,2,912909,Wet / Damp,Male,2150,Taxi/Private hire car,Fine without high winds
A,04-Nov-09,26,Driver,Slight,424137,430431,Darkness: street lights present and lit,2,912909,Wet / Damp,Male,2150,Car,Fine without high winds
Unclassified,04-Nov-09,76,Driver,Slight,431088,434206,Daylight: street lights present,5,925909,Dry,Male,1130,Car,Fine without high winds
Unclassified,04-Nov-09,43,Driver,Slight,431088,434206,Daylight: street lights present,5,925909,Dry,Male,1130,Car,Fine without high winds
Unclassified,04-Nov-09,21,Driver,Slight,428824,435226,Daylight: street lights present,3,930509,Wet / Damp,Female,933,Car,Raining without high winds
Unclassified,04-Nov-09,37,Driver,Slight,428824,435226,Daylight: street lights present,3,930509,Wet / Damp,Male,933,Car,Raining without high winds
Unclassified,04-Nov-09,17,Passenger,Slight,428824,435226,Daylight: street lights present,3,930509,Wet / Damp,Female,933,Car,Raining without high winds
Motorway,04-Nov-09,43,Driver,Slight,424995,426933,Darkness: street lighting unknown,2,935009,Dry,Male,1700,Car,Fine without high winds
Unclassified,04-Nov-09,43,Passenger,Slight,430079,433879,Daylight: street lights present,1,971909,Dry,Female,730,Bus or coach (17 or more passenger seats),Fine without high winds
B,05-Nov-09,44,Driver,Slight,424469,433641,Daylight: street lights present,2,902209,Wet / Damp,Male,1510,Car,Raining without high winds
B,05-Nov-09,24,Passenger,Slight,424469,433641,Daylight: street lights present,2,902209,Wet / Damp,Male,1510,Car,Raining without high winds
Unclassified,05-Nov-09,18,Driver,Slight,423185,434298,Darkness: street lights present and lit,1,908909,Wet / Damp,Male,1935,Car,Raining without high winds
B,05-Nov-09,11,Pedestrian,Slight,425987,427348,Daylight: street lights present,1,909009,Wet / Damp,Female,837,Car,Fine without high winds
Unclassified,05-Nov-09,35,Pedestrian,Slight,429695,433797,Darkness: street lighting unknown,1,911409,Wet / Damp,Male,1705,Car,Raining without high winds
Unclassified,05-Nov-09,71,Passenger,Slight,436052,444475,Daylight: street lights present,1,913209,Wet / Damp,Male,925,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,05-Nov-09,20,Pedestrian,Slight,432094,438849,Darkness: street lights present and lit,1,913709,Wet / Damp,Male,2230,Car,Fine without high winds
A,05-Nov-09,33,Driver,Slight,431574,435200,Daylight: street lights present,2,914209,Wet / Damp,Male,1130,Pedal cycle,Fine without high winds
A,05-Nov-09,35,Driver,Slight,428908,433712,Darkness: street lights present and lit,2,915409,Wet / Damp,Male,1825,Pedal cycle,Fine without high winds
A,05-Nov-09,20,Driver,Slight,428955,435470,Darkness: street lights present and lit,2,916409,Wet / Damp,Female,1740,Motorcycle over 50cc and up to 125cc,Fine without high winds
B,05-Nov-09,36,Driver,Slight,442879,435298,Darkness: no street lighting,2,916709,Wet / Damp,Female,2125,Car,Raining without high winds
A,05-Nov-09,26,Driver,Slight,431507,445771,Daylight: street lights present,2,917109,Dry,Male,1400,Goods vehicle 3.5 tonnes mgw and under,Fine without high winds
A,05-Nov-09,51,Driver,Slight,422212,436736,Daylight: street lights present,3,927709,Wet / Damp,Female,1230,Car,Fine without high winds
A,05-Nov-09,81,Driver,Slight,422212,436736,Daylight: street lights present,3,927709,Wet / Damp,Male,1230,Car,Fine without high winds
A,05-Nov-09,42,Driver,Slight,422212,436736,Daylight: street lights present,3,927709,Wet / Damp,Male,1230,Car,Fine without high winds
A,05-Nov-09,77,Passenger,Slight,422212,436736,Daylight: street lights present,3,927709,Wet / Damp,Female,1230,Car,Fine without high winds
Unclassified,05-Nov-09,30,Passenger,Slight,432379,433665,Daylight: street lights present,2,932609,Wet / Damp,Female,1500,Car,Fine without high winds
Unclassified,05-Nov-09,40,Driver,Slight,432530,434887,Darkness: street lights present and lit,2,953209,Wet / Damp,Female,1959,Car,Fine without high winds
Unclassified,05-Nov-09,62,Passenger,Slight,432530,434887,Darkness: street lights present and lit,2,953209,Wet / Damp,Female,1959,Car,Fine without high winds
A,06-Nov-09,52,Driver,Slight,425521,434273,Darkness: street lights present and lit,2,907209,Wet / Damp,Female,2000,Car,Fine without high winds
A,06-Nov-09,9,Passenger,Slight,425521,434273,Darkness: street lights present and lit,2,907209,Wet / Damp,Female,2000,Car,Fine without high winds
