Latitude,Longitude
53.8008019228,-1.4939489482
53.8765808479,-1.5678700332
53.8114381219,-1.4841772833
53.7694346063,-1.5159911649
53.7694346063,-1.5159911649
53.7491855365,-1.6018415127
53.7917983317,-1.5510266812
53.7917983317,-1.5510266812
53.7917983317,-1.5510266812
53.7917983317,-1.5510266812
53.7917983317,-1.5510266812
53.8012546931,-1.5394169417
53.8053448396,-1.5211961885
53.7899563223,-1.6574813886
53.7370902716,-1.5738643871
53.7966953969,-1.6631499077
53.8062888872,-1.5686838667
53.8600124153,-1.6921230891
53.7921805983,-1.5694964352
53.9151239075,-1.694839171
53.8318874103,-1.5893890166
53.8318874103,-1.5893890166
53.7878845124,-1.6201294752
53.7755480507,-1.5299414951
53.8626187915,-1.5668126142
53.8626187915,-1.5668126142
53.8626187915,-1.5668126142
53.8626187915,-1.5668126142
53.8812062694,-1.6686323632
53.8812062694,-1.6686323632
53.8151545362,-1.4526921475
53.8100835584,-1.5354325289
53.8100835584,-1.5354325289
53.7810150081,-1.544494729
53.7810150081,-1.544494729
53.8274190683,-1.3992061883
53.8274190683,-1.3992061883
53.8034072128,-1.614614203
53.8007610924,-1.5490786865
53.8161477227,-1.5659095369
53.8138656411,-1.4558527896
53.8036545868,-1.5324667639
53.8036545868,-1.5324667639
53.8071692112,-1.5635726009
53.7471529032,-1.6535380653
53.7471529032,-1.6535380653
53.7471529032,-1.6535380653
53.744977533,-1.5880679799
53.8070913032,-1.6433715049
53.8013239471,-1.6662709189
53.8013239471,-1.6662709189
53.816883682,-1.4574085382
53.816883682,-1.4574085382
53.820049244,-1.5144818167
53.820049244,-1.5144818167
53.820049244,-1.5144818167
53.8141826834,-1.5545541949
53.7253990343,-1.5847734151
53.7686727042,-1.5300789421
53.7686727042,-1.5300789421
53.7833045379,-1.5298852108
53.7846298939,-1.5019445087
53.7453025718,-1.6240918205
53.8593546398,-1.6614461318
53.8061661383,-1.5822603875
53.8061661383,-1.5822603875
53.8061661383,-1.5822603875
53.8085744328,-1.4664754146
53.8085744328,-1.4664754146
53.794494627,-1.5681368572
53.7123141555,-1.5432671191
